"filename", "language", "JSON", "JSON with Comments", "Markdown", "SCSS", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\register.component.html", "HTML", 0, 0, 0, 0, 0, -68, 0, 0, -12, -80
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\register.component.scss", "SCSS", 0, 0, 0, -293, 0, 0, 0, 0, -36, -329
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\register.component.ts", "TypeScript", 0, 0, 0, 0, -72, 0, 0, 0, -8, -80
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.html", "HTML", 0, 0, 0, 0, 0, -73, 0, 0, -8, -81
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.scss", "SCSS", 0, 0, 0, -174, 0, 0, 0, 0, -17, -191
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\new-password\new-password.component.ts", "TypeScript", 0, 0, 0, 0, -81, 0, 0, 0, -11, -92
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 0, 0, -52, 0, 0, -6, -58
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\reset-password.component.scss", "SCSS", 0, 0, 0, -176, 0, 0, 0, 0, -16, -192
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 0, 0, -41, 0, 0, 0, -4, -45
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\select-avatar\avatars.json", "JSON", -11, 0, 0, 0, 0, 0, 0, 0, 0, -11
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.html", "HTML", 0, 0, 0, 0, 0, -48, 0, 0, -3, -51
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.scss", "SCSS", 0, 0, 0, -194, 0, 0, 0, 0, -14, -208
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\features\auth\components\register\select-avatar\select-avatar.component.ts", "TypeScript", 0, 0, 0, 0, -79, 0, 0, 0, -7, -86
"\Users\avogath\Desktop\DA\DABubble\src\app\main-component\main-component.component.html", "HTML", 0, 0, 0, 0, 0, -29, 0, -4, -5, -38
"\Users\avogath\Desktop\DA\DABubble\src\app\main-component\main-component.component.scss", "SCSS", 0, 0, 0, -50, 0, 0, 0, 0, -6, -56
"\Users\avogath\Desktop\DA\DABubble\src\app\main-component\main-component.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -7, -25
"\Users\avogath\Desktop\DA\DABubble\src\app\main-component\main-component.component.ts", "TypeScript", 0, 0, 0, 0, -226, 0, 0, -17, -23, -266
"\Users\avogath\Desktop\DA\DABubble\src\app\shared.ts", "TypeScript", 0, 0, 0, 0, -53, 0, 0, 0, -1, -54
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\add-user-to-channel-overlay\add-user-to-channel-overlay.component.html", "HTML", 0, 0, 0, 0, 0, -45, 0, 0, -3, -48
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\add-user-to-channel-overlay\add-user-to-channel-overlay.component.scss", "SCSS", 0, 0, 0, -184, 0, 0, 0, -1, -19, -204
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\add-user-to-channel-overlay\add-user-to-channel-overlay.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\add-user-to-channel-overlay\add-user-to-channel-overlay.component.ts", "TypeScript", 0, 0, 0, 0, -84, 0, 0, 0, -32, -116
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-chat.component.html", "HTML", 0, 0, 0, 0, 0, -285, 0, 0, -9, -294
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-chat.component.scss", "SCSS", 0, 0, 0, -928, 0, 0, 0, -4, -119, -1051
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-chat.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-chat.component.ts", "TypeScript", 0, 0, 0, 0, -645, 0, 0, -1, -101, -747
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-members-overlay\channel-members-overlay.component.html", "HTML", 0, 0, 0, 0, 0, -22, 0, 0, -1, -23
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-members-overlay\channel-members-overlay.component.scss", "SCSS", 0, 0, 0, -146, 0, 0, 0, 0, -19, -165
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-members-overlay\channel-members-overlay.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\channel-members-overlay\channel-members-overlay.component.ts", "TypeScript", 0, 0, 0, 0, -67, 0, 0, 0, -13, -80
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\edit-channel\edit-channel.component.html", "HTML", 0, 0, 0, 0, 0, -91, 0, -3, -8, -102
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\edit-channel\edit-channel.component.scss", "SCSS", 0, 0, 0, -345, 0, 0, 0, -4, -33, -382
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\edit-channel\edit-channel.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\edit-channel\edit-channel.component.ts", "TypeScript", 0, 0, 0, 0, -122, 0, 0, -4, -21, -147
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\smiley-keyboard\smiley-keyboard.component.html", "HTML", 0, 0, 0, 0, 0, -1, 0, 0, -1, -2
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\smiley-keyboard\smiley-keyboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\smiley-keyboard\smiley-keyboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\smiley-keyboard\smiley-keyboard.component.ts", "TypeScript", 0, 0, 0, 0, -19, 0, 0, -1, -3, -23
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\tagging-persons-dialog\tagging-persons-dialog.component.html", "HTML", 0, 0, 0, 0, 0, -30, 0, 0, -4, -34
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\tagging-persons-dialog\tagging-persons-dialog.component.scss", "SCSS", 0, 0, 0, -52, 0, 0, 0, 0, -11, -63
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\tagging-persons-dialog\tagging-persons-dialog.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-chat\tagging-persons-dialog\tagging-persons-dialog.component.ts", "TypeScript", 0, 0, 0, 0, -119, 0, 0, -16, -25, -160
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-create-overlay\channel-create-overlay.component.html", "HTML", 0, 0, 0, 0, 0, -41, 0, 0, -5, -46
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-create-overlay\channel-create-overlay.component.scss", "SCSS", 0, 0, 0, -124, 0, 0, 0, 0, -14, -138
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-create-overlay\channel-create-overlay.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\channel-create-overlay\channel-create-overlay.component.ts", "TypeScript", 0, 0, 0, 0, -104, 0, 0, -3, -10, -117
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\data-protection\data-protection.component.html", "HTML", 0, 0, 0, 0, 0, -92, 0, 0, -3, -95
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\data-protection\data-protection.component.scss", "SCSS", 0, 0, 0, -99, 0, 0, 0, 0, -8, -107
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\data-protection\data-protection.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\data-protection\data-protection.component.ts", "TypeScript", 0, 0, 0, 0, -12, 0, 0, 0, -3, -15
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\direct-message\direct-message.component.html", "HTML", 0, 0, 0, 0, 0, -167, 0, -2, -7, -176
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\direct-message\direct-message.component.scss", "SCSS", 0, 0, 0, -417, 0, 0, 0, -17, -54, -488
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\direct-message\direct-message.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\direct-message\direct-message.component.ts", "TypeScript", 0, 0, 0, 0, -279, 0, 0, -6, -42, -327
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header-dialog-profil\dialog.component.html", "HTML", 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header-dialog-profil\dialog.component.scss", "SCSS", 0, 0, 0, -35, 0, 0, 0, 0, -1, -36
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header-dialog-profil\dialog.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header-dialog-profil\dialog.component.ts", "TypeScript", 0, 0, 0, 0, -64, 0, 0, 0, -13, -77
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\header.component.html", "HTML", 0, 0, 0, 0, 0, -60, 0, 0, -5, -65
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\header.component.scss", "SCSS", 0, 0, 0, -146, 0, 0, 0, 0, -10, -156
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\header.component.ts", "TypeScript", 0, 0, 0, 0, -129, 0, 0, -12, -32, -173
"\Users\avogath\Desktop\DA\DABubble\src\app\shared\header\user-profil\user-profil.component.html", "HTML", 0, 0, 0, 0, 0, -35, 0, 0, -3, -38
